"","column_label","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","source"
"GO:0042805","MEturquoise","GO:0042805","actinin binding","8/1000","36/18410",0.000571462646576765,0.0112833475749625,0.00952224432369795,"27295/171024/10611/4790/1465/5970/23022/1466",8,"GO"
"GO:0004842","MEturquoise","GO:0004842","ubiquitin-protein transferase activity","40/1000","433/18410",0.000749404614607704,0.0144884892157489,0.0122271279225468,"9781/9903/7844/79845/29116/329/51132/10210/26994/91694/10155/5930/25820/56888/7706/23327/26224/7320/64400/27246/83892/57162/153830/9921/10892/7323/7334/26118/23352/5371/127544/80204/64750/64795/25831/6047/8452/197131/7337/868",40,"GO"
"GO:0001228","MEturquoise","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","42/1000","462/18410",0.000772194571623617,0.0146244196421779,0.0123418423477545,"4487/8061/23764/2296/64321/4780/2078/4609/3727/1958/2122/6018/81566/10308/467/1054/4791/4790/8013/3659/5970/7716/3725/4097/2309/2355/6722/2308/571/1386/1051/9314/6774/7572/153222/64764/1316/3087/3172/5359/2113/1052",42,"GO"
"GO:0001216","MEturquoise","GO:0001216","DNA-binding transcription activator activity","42/1000","466/18410",0.000915661068679174,0.0169946694346855,0.0143421438967854,"4487/8061/23764/2296/64321/4780/2078/4609/3727/1958/2122/6018/81566/10308/467/1054/4791/4790/8013/3659/5970/7716/3725/4097/2309/2355/6722/2308/571/1386/1051/9314/6774/7572/153222/64764/1316/3087/3172/5359/2113/1052",42,"GO"
"GO:1990782","MEturquoise","GO:1990782","protein tyrosine kinase binding","15/1000","113/18410",0.00117079942768566,0.0209768503947898,0.0177027866308117,"3320/4739/9414/285/6464/1398/2697/9655/8878/7532/10657/5770/5781/868/634",15,"GO"
"GO:0019787","MEturquoise","GO:0019787","ubiquitin-like protein transferase activity","41/1000","458/18410",0.00119263881541949,0.0209768503947898,0.0177027866308117,"9781/9903/7844/79845/29116/329/51132/10210/26994/91694/10155/5930/25820/56888/7706/23327/5903/26224/7320/64400/27246/83892/57162/153830/9921/10892/7323/7334/26118/23352/5371/127544/80204/64750/64795/25831/6047/8452/197131/7337/868",41,"GO"
"GO:0003925...299","MEturquoise","GO:0003925","G protein activity","8/1000","40/18410",0.00119803132642657,0.0209768503947898,0.0177027866308117,"5899/5861/5868/6016/5879/5898/5908/7879",8,"GO"
"GO:0030674...300","MEturquoise","GO:0030674","protein-macromolecule adaptor activity","30/1000","305/18410",0.00125019269927034,0.0214847930541274,0.0181314496736284,"80176/171024/9414/8835/3312/60485/56929/162989/6464/6809/1398/10458/9221/9043/483/5706/8675/288/602/10657/9341/9314/8450/6774/5781/57515/5604/151987/23468/8676",30,"GO"
"GO:0030515","MEturquoise","GO:0030515","snoRNA binding","7/1000","32/18410",0.00139021873185333,0.0226986342880809,0.0191558347440247,"11163/10528/51602/9221/9188/3669/131870",7,"GO"
"GO:0031369","MEturquoise","GO:0031369","translation initiation factor binding","7/1000","32/18410",0.00139021873185333,0.0226986342880809,0.0191558347440247,"1983/1654/1977/3087/1981/8663/728689",7,"GO"
"GO:0008330","MEturquoise","GO:0008330","protein tyrosine/threonine phosphatase activity","4/1000","10/18410",0.00139562219234499,0.0226986342880809,0.0191558347440247,"1847/1848/80824/1846",4,"GO"
"GO:0042169...304","MEturquoise","GO:0042169","SH2 domain binding","8/1000","41/18410",0.00141866464300505,0.0226986342880809,0.0191558347440247,"10395/1398/394/8878/8631/10657/9646/25",8,"GO"
"GO:0042974","MEturquoise","GO:0042974","nuclear retinoic acid receptor binding","6/1000","24/18410",0.00146308296325995,0.0230125591509362,0.0194207622598645,"8204/55791/10865/171023/6867/3275",6,"GO"
"GO:0035497","MEturquoise","GO:0035497","cAMP response element binding","5/1000","17/18410",0.00167397119266705,0.0258907544465836,0.0218497292516541,"9586/8013/3725/1386/64764",5,"GO"
"GO:0140296","MEturquoise","GO:0140296","general transcription initiation factor binding","9/1000","52/18410",0.00177041257115645,0.0269334896071015,0.0227297144597136,"8915/3192/51602/9221/5970/3725/5700/3087/196",9,"GO"
"GO:0008266","MEturquoise","GO:0008266","poly(U) RNA binding","6/1000","25/18410",0.00183766625811425,0.0275057143150004,0.0232126264182853,"27303/5939/3183/10657/6741/8761",6,"GO"
"GO:0048156...309","MEturquoise","GO:0048156","tau protein binding","8/1000","43/18410",0.00195607023342721,0.0283630183846946,0.0239361225932541,"5516/3326/3320/9475/5515/1859/10013/2534",8,"GO"
"GO:0051879","MEturquoise","GO:0051879","Hsp90 protein binding","8/1000","43/18410",0.00195607023342721,0.0283630183846946,0.0239361225932541,"3791/9451/26973/11140/10598/10963/10013/196",8,"GO"
"GO:0140677","MEturquoise","GO:0140677","molecular function activator activity","7/1000","34/18410",0.0020213358604792,0.0287275596558814,0.024243766315762,"11080/3337/3301/23210/10049/10598/483",7,"GO"
"GO:0019887","MEturquoise","GO:0019887","protein kinase regulator activity","22/1000","207/18410",0.00204312385483639,0.0287275596558814,0.024243766315762,"3326/1030/51704/11142/200734/11140/904/1026/10253/7532/9021/1654/9467/151195/5290/10221/219771/5604/11261/57018/10983/900",22,"GO"
"GO:0098641","MEturquoise","GO:0098641","cadherin binding involved in cell-cell adhesion","5/1000","18/18410",0.00221510861110055,0.0292592049968518,0.0246924325291036,"1266/10611/10458/301/29766",5,"GO"
"GO:0098631","MEturquoise","GO:0098631","cell adhesion mediator activity","10/1000","64/18410",0.00223463957949866,0.0292592049968518,0.0246924325291036,"4059/4345/1266/10611/10458/8515/23022/27020/301/29766",10,"GO"
"GO:0001222","MEturquoise","GO:0001222","transcription corepressor binding","8/1000","44/18410",0.00227891001540548,0.0292592049968518,0.0246924325291036,"3280/84146/5252/604/6095/4848/10013/2113",8,"GO"
"GO:0001784...316","MEturquoise","GO:0001784","phosphotyrosine residue binding","8/1000","44/18410",0.00227891001540548,0.0292592049968518,0.0246924325291036,"7525/27/6464/1398/9021/5781/25/868",8,"GO"
"GO:0001671","MEturquoise","GO:0001671","ATPase activator activity","6/1000","26/18410",0.0022805801880035,0.0292592049968518,0.0246924325291036,"11080/3337/3301/10049/10598/483",6,"GO"
"GO:0051019...318","MEturquoise","GO:0051019","mitogen-activated protein kinase binding","6/1000","26/18410",0.0022805801880035,0.0292592049968518,0.0246924325291036,"8493/23411/9261/25/80824/7175",6,"GO"
"GO:0008013","MEturquoise","GO:0008013","beta-catenin binding","12/1000","86/18410",0.00230164004824373,0.0292592049968518,0.0246924325291036,"64321/7414/23135/1495/2697/6095/2309/57658/5829/2308/9314/10013",12,"GO"
"GO:0061608","MEturquoise","GO:0061608","nuclear import signal receptor activity","5/1000","19/18410",0.0028732170201634,0.0359184670173519,0.0303123179003061,"51194/3840/3843/3838/3842",5,"GO"
"GO:0005525...321","MEturquoise","GO:0005525","GTP binding","34/1000","379/18410",0.00290289334730754,0.0359184670173519,0.0303123179003061,"27289/2669/221079/26354/3643/10383/3326/84617/57381/1983/200894/23011/9221/394/54622/5899/7846/378/375/2935/1785/5861/2773/9567/5868/6016/5879/116988/5898/7277/5908/58480/7879/131870",34,"GO"
"GO:0017166","MEturquoise","GO:0017166","vinculin binding","4/1000","12/18410",0.00301437584570759,0.0368071155896927,0.0310622663324993,"1495/23336/5829/87",4,"GO"
"GO:0035613","MEturquoise","GO:0035613","RNA stem-loop binding","5/1000","20/18410",0.00366172090357411,0.0441308701106075,0.0372429303111297,"9775/80149/10865/1654/7812",5,"GO"
"GO:0061659","MEturquoise","GO:0061659","ubiquitin-like protein ligase activity","30/1000","329/18410",0.00392353544150658,0.0466800114066424,0.0393942020037908,"9781/7844/79845/29116/329/51132/10210/26994/91694/5930/25820/56888/7706/23327/5903/27246/57162/153830/9921/7323/26118/23352/127544/64750/64795/25831/8452/197131/7337/868",30,"GO"
"GO:0046966","MEturquoise","GO:0046966","nuclear thyroid hormone receptor binding","6/1000","29/18410",0.00409494506115398,0.0477574257937188,0.0403034537097627,"221037/10865/6867/9969/8638/3275",6,"GO"
"GO:0061630","MEturquoise","GO:0061630","ubiquitin protein ligase activity","29/1000","316/18410",0.00413099675555613,0.0477574257937188,0.0403034537097627,"9781/7844/79845/29116/329/51132/10210/26994/91694/5930/25820/56888/7706/23327/27246/57162/153830/9921/7323/26118/23352/127544/64750/64795/25831/8452/197131/7337/868",29,"GO"
"GO:0017017","MEturquoise","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity","4/1000","13/18410",0.00416848220828796,0.0477574257937188,0.0403034537097627,"1847/1848/80824/1846",4,"GO"
"GO:0004860","MEturquoise","GO:0004860","protein kinase inhibitor activity","10/1000","70/18410",0.00436822999417982,0.0494355784707179,0.0417196805605877,"1030/11142/200734/1026/10253/7532/9021/9467/10221/11261",10,"GO"
"R-HSA-6798695...329","MEmidnightblue","R-HSA-6798695","Neutrophil degranulation","19/62","452/9232",5.33985906045816e-11,2.17866249666693e-08,2.0122837301516e-08,"140885/327/1535/2548/29952/55004/23385/1509/1471/8673/1522/1476/2665/10043/8566/25798/3107/3106/64114",19,"Reactome"
"R-HSA-3928662...330","MEmidnightblue","R-HSA-3928662","EPHB-mediated forward signaling","4/62","41/9232",0.000155054696176535,0.0316311580200131,0.0292155690690524,"3984/10095/10094/6714",4,"Reactome"
"R-HSA-2682334...331","MEmidnightblue","R-HSA-2682334","EPH-Ephrin signaling","5/62","88/9232",0.00029619830302846,0.0358990319348242,0.0331575165961483,"3984/10095/10094/23385/6714",5,"Reactome"
"R-HSA-449836","MEmidnightblue","R-HSA-449836","Other interleukin signaling","3/62","21/9232",0.000351951293478669,0.0358990319348242,0.0331575165961483,"6813/3588/6810",3,"Reactome"
"hsa04144","MEmidnightblue","hsa04144","Endocytosis","10/52","238/6653",1.19707313899113e-05,0.0021068487246244,0.00187751471273346,"10095/832/27131/10094/51324/1601/29924/6714/3107/3106",10,"KEGG"
"hsa04145...334","MEmidnightblue","hsa04145","Phagosome","7/52","144/6653",0.000113903653149793,0.0100235214771818,0.00893244437858902,"1535/8685/533/3123/10376/3107/3106",7,"KEGG"
"hsa05152...335","MEmidnightblue","hsa05152","Tuberculosis","7/52","158/6653",0.000203281880287297,0.0119258703101881,0.010627719355371,"3588/3654/1509/533/3123/6714/3460",7,"KEGG"
"hsa04142...336","MEmidnightblue","hsa04142","Lysosome","6/52","129/6653",0.000463590689170073,0.0203979903234832,0.0181776349174581,"2548/2629/1509/533/3073/1522",6,"KEGG"
"GO:0042605","MEmidnightblue","GO:0042605","peptide antigen binding","4/81","37/18410",2.05632650187868e-05,0.00505856319462156,0.00378796987188179,"3123/3136/3107/3106",4,"GO"
"GO:0023026...338","MEmidnightblue","GO:0023026","MHC class II protein complex binding","3/81","27/18410",0.000222394399729399,0.027354511166716,0.0204836947119183,"3123/311/975",3,"GO"
"GO:0023023...339","MEmidnightblue","GO:0023023","MHC protein complex binding","3/81","36/18410",0.000527611323001937,0.0301678690149481,0.0225904025571927,"3123/311/975",3,"GO"
"GO:0045296...340","MEmidnightblue","GO:0045296","cadherin binding","7/81","333/18410",0.000657533520349055,0.0301678690149481,0.0225904025571927,"832/5499/27131/5216/822/6714/5052",7,"GO"
"GO:0004177...341","MEmidnightblue","GO:0004177","aminopeptidase activity","3/81","39/18410",0.000668946787968859,0.0301678690149481,0.0225904025571927,"51056/29952/5184",3,"GO"
"GO:0004180","MEmidnightblue","GO:0004180","carboxypeptidase activity","3/81","44/18410",0.000954212883230731,0.0301678690149481,0.0225904025571927,"51056/5184/1522",3,"GO"
"GO:0003823...343","MEmidnightblue","GO:0003823","antigen binding","5/81","174/18410",0.00102179055447637,0.0301678690149481,0.0225904025571927,"140885/3123/3136/3107/3106",5,"GO"
"GO:0008238...344","MEmidnightblue","GO:0008238","exopeptidase activity","4/81","102/18410",0.00106555317283313,0.0301678690149481,0.0225904025571927,"51056/29952/5184/1522",4,"GO"
"GO:0005200","MEmidnightblue","GO:0005200","structural constituent of cytoskeleton","4/81","104/18410",0.00114532233588355,0.0301678690149481,0.0225904025571927,"10095/10094/3123/10376",4,"GO"
"GO:0015926","MEmidnightblue","GO:0015926","glucosidase activity","2/81","12/18410",0.00122633613881903,0.0301678690149481,0.0225904025571927,"2548/2629",2,"GO"
"GO:0016004","MEmidnightblue","GO:0016004","phospholipase activator activity","2/81","14/18410",0.00168122824700621,0.0375983771603207,0.0281545400216351,"6810/6714",2,"GO"
"GO:0033218...348","MEmidnightblue","GO:0033218","amide binding","7/81","402/18410",0.00195056166425869,0.0395647653047118,0.0296270172371611,"8685/1471/3123/3030/3136/3107/3106",7,"GO"
"GO:0060229","MEmidnightblue","GO:0060229","lipase activator activity","2/81","16/18410",0.00220438692483806,0.0395647653047118,0.0296270172371611,"6810/6714",2,"GO"
"GO:0017124...350","MEmidnightblue","GO:0017124","SH3 domain binding","4/81","125/18410",0.00225165331002425,0.0395647653047118,0.0296270172371611,"140885/1535/2876/54206",4,"GO"
"GO:0042277...351","MEmidnightblue","GO:0042277","peptide binding","6/81","322/18410",0.00295345223724142,0.0484366166907593,0.0362704660713859,"8685/1471/3123/3136/3107/3106",6,"GO"
"R-HSA-6798695...352","MEbrown","R-HSA-6798695","Neutrophil degranulation","99/461","452/9232",1.06688032733308e-38,1.12449186500907e-35,9.6917654998784e-36,"10312/51411/3071/5777/11322/23406/8514/27180/5795/1794/3689/963/1536/1378/4332/3684/2215/3101/1118/7226/5724/160364/25801/11010/3903/11025/5580/10288/5912/719/1075/79930/945/10875/10855/4125/2760/2357/1520/84329/4069/2207/3614/1512/150372/3417/10487/7305/2720/158747/2896/391/11314/6280/23601/929/10533/2219/6556/7097/2517/28988/2799/2212/535/2268/6279/10092/5660/1508/10577/272/2512/23191/427/8804/4048/3074/4126/23071/25840/10159/161/847/2990/80331/11240/1675/1116/10890/2950/567/3837/3958/5707/728/3920/4318/10493",99,"Reactome"
"R-HSA-2029480","MEbrown","R-HSA-2029480","Fcgamma receptor (FCGR) dependent phagocytosis","23/461","85/9232",1.30500698376505e-11,6.87738680444182e-09,5.92747908941705e-09,"7454/3071/4650/7409/695/6850/2214/5580/2885/3055/2209/4067/2212/2268/5058/10092/23646/60/10093/23191/10109/1072/71",23,"Reactome"
"R-HSA-2029482","MEbrown","R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation","18/461","60/9232",3.54001130375433e-10,1.24372397138569e-07,1.0719402649614e-07,"7454/3071/4650/7409/695/6850/2214/2885/2209/2212/5058/10092/60/10093/23191/10109/1072/71",18,"Reactome"
"R-HSA-9664407","MEbrown","R-HSA-9664407","Parasite infection","17/461","58/9232",1.64790261649381e-09,2.89481559630745e-07,2.49498238251606e-07,"7454/3071/4650/7409/695/6850/2214/2885/3055/4067/2268/10092/60/10093/23191/10109/71",17,"Reactome"
"R-HSA-9664417","MEbrown","R-HSA-9664417","Leishmania phagocytosis","17/461","58/9232",1.64790261649381e-09,2.89481559630745e-07,2.49498238251606e-07,"7454/3071/4650/7409/695/6850/2214/2885/3055/4067/2268/10092/60/10093/23191/10109/71",17,"Reactome"
"R-HSA-9664422","MEbrown","R-HSA-9664422","FCGR3A-mediated phagocytosis","17/461","58/9232",1.64790261649381e-09,2.89481559630745e-07,2.49498238251606e-07,"7454/3071/4650/7409/695/6850/2214/2885/3055/4067/2268/10092/60/10093/23191/10109/71",17,"Reactome"
"R-HSA-198933...358","MEbrown","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","24/461","127/9232",1.29696628062155e-08,1.95286065682158e-06,1.68313067695698e-06,"10859/6614/27180/3689/27036/3903/2214/11025/146722/10288/89790/945/29992/11006/2209/7305/120425/11314/54209/81035/2213/10990/342510/567",24,"Reactome"
"R-HSA-9658195","MEbrown","R-HSA-9658195","Leishmania infection","31/461","209/9232",4.16295297963207e-08,5.48469055066525e-06,4.72714265976642e-06,"7454/3071/113/4650/7409/695/9332/834/6850/5027/2214/719/59345/55970/2885/3055/2209/4067/5566/79651/2212/2268/10092/60/3162/10093/23191/10109/3606/2787/71",31,"Reactome"
"R-HSA-449147...360","MEbrown","R-HSA-449147","Signaling by Interleukins","48/461","428/9232",8.86817242197288e-08,1.03856152586216e-05,8.95114947387438e-06,"3936/6195/1439/5777/7409/3689/23765/3587/7297/3684/1230/5724/834/26469/6850/3636/1436/2162/7867/1441/4615/920/84868/2885/2357/3055/3965/942/6500/4067/3627/5566/1438/3162/3606/6776/829/6364/10068/4128/1072/3597/5707/1845/6348/4318/7040/2335",48,"Reactome"
"R-HSA-1679131","MEbrown","R-HSA-1679131","Trafficking and processing of endosomal TLR","7/461","12/9232",4.71207686740935e-07,4.51502638022678e-05,3.89140893452083e-05,"51311/51284/1520/81622/1508/5641/1514",7,"Reactome"
"R-HSA-2029481","MEbrown","R-HSA-2029481","FCGR activation","7/461","12/9232",4.71207686740935e-07,4.51502638022678e-05,3.89140893452083e-05,"6850/2214/3055/2209/4067/2212/2268",7,"Reactome"
"R-HSA-5602498","MEbrown","R-HSA-5602498","MyD88 deficiency (TLR2/4)","8/461","17/9232",5.93883382655828e-07,4.80958110149697e-05,4.14527962707668e-05,"7096/695/10333/4615/6280/929/7097/6279",8,"Reactome"
"R-HSA-8964043","MEbrown","R-HSA-8964043","Plasma lipoprotein clearance","11/461","35/9232",5.99169175329255e-07,4.80958110149697e-05,4.14527962707668e-05,"55911/3988/348/341/10577/6646/10062/161/1175/1213/1211",11,"Reactome"
"R-HSA-1236975...365","MEbrown","R-HSA-1236975","Antigen processing-Cross presentation","19/461","103/9232",6.38843789572652e-07,4.80958110149697e-05,4.14527962707668e-05,"7096/1536/695/4688/10333/4615/2209/1520/4689/653361/6280/929/7097/6279/4360/1514/567/5707/9554",19,"Reactome"
"R-HSA-5603041","MEbrown","R-HSA-5603041","IRAK4 deficiency (TLR2/4)","8/461","18/9232",1.0225305872981e-06,7.18498159341465e-05,6.19258874974218e-05,"7096/695/10333/4615/6280/929/7097/6279",8,"Reactome"
"R-HSA-76002...367","MEbrown","R-HSA-76002","Platelet activation, signaling and aggregation","30/461","245/9232",4.46697908599334e-06,0.000291344098038177,0.00025110352202831,"1445/5777/7409/83706/6850/409/5580/23533/59345/54518/2162/55970/2885/2207/10487/10184/391/7114/4067/5660/26090/5341/1675/1072/9948/10447/3920/7040/2787/2335",30,"Reactome"
"R-HSA-2132295...368","MEbrown","R-HSA-2132295","MHC class II antigen presentation","19/461","117/9232",4.69909835545447e-06,0.000291344098038177,0.00025110352202831,"1075/1520/3109/1512/162/3111/972/3122/3113/3115/1508/5641/3118/829/161/1175/1514/1213/1211",19,"Reactome"
"R-HSA-168898...369","MEbrown","R-HSA-168898","Toll-like Receptor Cascades","23/461","163/9232",5.70454253572839e-06,0.000334032657369873,0.000287895918616,"7096/51311/6195/4064/3689/695/51284/3684/10333/7867/4615/1520/6500/9450/6280/929/7097/81622/6279/1508/5641/1514/1845",23,"Reactome"
"R-HSA-5663213","MEbrown","R-HSA-5663213","RHO GTPases Activate WASPs and WAVEs","10/461","36/9232",6.87325160243876e-06,0.000381284588893182,0.00032862139240469,"7454/3071/695/2885/10092/60/10093/23191/10109/71",10,"Reactome"
"R-HSA-512988","MEbrown","R-HSA-512988","Interleukin-3, Interleukin-5 and GM-CSF signaling","11/461","46/9232",1.16255406104587e-05,0.000612665990171173,0.000528044291938203,"1439/5777/7409/6850/3636/2885/3055/4067/5566/1438/6776",11,"Reactome"
"R-HSA-5260271...372","MEbrown","R-HSA-5260271","Diseases of Immune System","9/461","31/9232",1.34438324893206e-05,0.000644081792897452,0.000555120930061421,"7096/695/10333/4615/6280/929/7097/81622/6279",9,"Reactome"
"R-HSA-5602358...373","MEbrown","R-HSA-5602358","Diseases associated with the TLR signaling cascade","9/461","31/9232",1.34438324893206e-05,0.000644081792897452,0.000555120930061421,"7096/695/10333/4615/6280/929/7097/81622/6279",9,"Reactome"
"R-HSA-8964038","MEbrown","R-HSA-8964038","LDL clearance","7/461","18/9232",1.45581346877541e-05,0.000667142346125775,0.000574996349452256,"3988/10577/6646/161/1175/1213/1211",7,"Reactome"
"R-HSA-174824","MEbrown","R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","13/461","67/9232",2.16384086294143e-05,0.00095028677897511,0.000819032747683531,"55911/3988/5566/348/341/10577/6646/10062/161/51129/1175/1213/1211",13,"Reactome"
"R-HSA-2173782...376","MEbrown","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","10/461","41/9232",2.42006617597355e-05,0.00101906164974387,0.000878308402805311,"9332/4035/4481/23166/81035/348/2512/10525/3040/3039",10,"Reactome"
"R-HSA-9012999...377","MEbrown","R-HSA-9012999","RHO GTPase cycle","42/461","434/9232",2.55564801662026e-05,0.00101906164974387,0.000878308402805311,"257106/7454/51291/23616/3071/201176/92799/1445/221472/4650/7409/1794/1536/752/4688/116985/29/2885/397/4689/124997/55704/158747/653361/391/9826/79180/9231/5058/114793/537/9815/60/23191/80243/64283/124540/1213/5361/396/71/10409",42,"Reactome"
"R-HSA-877300","MEbrown","R-HSA-877300","Interferon gamma signaling","15/461","88/9232",2.61049948226608e-05,0.00101906164974387,0.000878308402805311,"5777/4261/5724/9830/5580/2209/3663/3122/3113/3115/3118/3394/2633/4502/567",15,"Reactome"
"R-HSA-9013149...379","MEbrown","R-HSA-9013149","RAC1 GTPase cycle","23/461","179/9232",2.71651952128647e-05,0.00102257556265569,0.000881336972507602,"257106/7454/51291/23616/3071/201176/4650/7409/1794/1536/752/4688/116985/29/397/4689/653361/9826/5058/9815/23191/80243/396",23,"Reactome"
"R-HSA-202427...380","MEbrown","R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains","7/461","20/9232",3.24955707773274e-05,0.00118104591721735,0.00101791933142772,"1445/5795/920/3122/3113/3115/3118",7,"Reactome"
"R-HSA-1222556","MEbrown","R-HSA-1222556","ROS and RNS production in phagocytes","9/461","35/9232",3.93811450594429e-05,0.00138359089642176,0.0011924887082912,"10312/1536/4688/84329/4689/653361/523/6556/535",9,"Reactome"
"R-HSA-389948...382","MEbrown","R-HSA-389948","PD-1 signaling","7/461","21/9232",4.66622157703787e-05,0.00153693673193685,0.00132465434900779,"1445/5777/920/3122/3113/3115/3118",7,"Reactome"
"R-HSA-5668599","MEbrown","R-HSA-5668599","RHO GTPases Activate NADPH Oxidases","7/461","21/9232",4.66622157703787e-05,0.00153693673193685,0.00132465434900779,"1536/4688/5580/4689/653361/6280/6279",7,"Reactome"
"R-HSA-6783783...384","MEbrown","R-HSA-6783783","Interleukin-10 signaling","10/461","45/9232",5.75275686143899e-05,0.00183739567635051,0.00158361377078847,"3587/7297/1230/5724/2357/942/3627/3606/6364/6348",10,"Reactome"
"R-HSA-8856828","MEbrown","R-HSA-8856828","Clathrin-mediated endocytosis","19/461","142/9232",7.76948820168125e-05,0.00240854134252119,0.00207587254428821,"409/920/2885/157/4074/10092/10618/60/10093/10109/161/55707/9185/1175/1956/1213/950/1211/71",19,"Reactome"
"R-HSA-917937","MEbrown","R-HSA-917937","Iron uptake and transport","11/461","56/9232",8.25223667436745e-05,0.00248510212993808,0.00214185872179823,"10312/113235/6500/523/535/57192/537/3162/2512/4891/30061",11,"Reactome"
"R-HSA-9664323","MEbrown","R-HSA-9664323","FCGR3A-mediated IL10 synthesis","9/461","39/9232",9.88905144536815e-05,0.00289529450650501,0.00249539514542477,"113/6850/2214/3055/2209/4067/5566/2212/2268",9,"Reactome"
"R-HSA-388841...388","MEbrown","R-HSA-388841","Costimulation by the CD28 family","12/461","67/9232",0.000101640969375927,0.00289539410060073,0.00249548098353983,"1445/5777/7409/920/2885/942/4067/3122/3113/5058/3115/3118",12,"Reactome"
"R-HSA-2682334...389","MEbrown","R-HSA-2682334","EPH-Ephrin signaling","14/461","88/9232",0.000105486398298219,0.0029258595738506,0.00252173855211532,"4067/5058/10092/60/10093/10109/161/1175/64283/1072/1213/4318/1211/71",14,"Reactome"
"R-HSA-983695","MEbrown","R-HSA-983695","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers","8/461","32/9232",0.00013228661512214,0.0035751305727881,0.00308133195277752,"27071/5777/7409/118788/695/6850/2885/4067",8,"Reactome"
"R-HSA-166658","MEbrown","R-HSA-166658","Complement cascade","10/461","50/9232",0.000147996603638627,0.00375329599439024,0.00323488908734523,"1378/719/714/713/2219/712/3426/1675/728/3075",10,"Reactome"
"R-HSA-3928662...392","MEbrown","R-HSA-3928662","EPHB-mediated forward signaling","9/461","41/9232",0.000149562079472856,0.00375329599439024,0.00323488908734523,"4067/5058/10092/60/10093/10109/64283/1072/71",9,"Reactome"
"R-HSA-451927...393","MEbrown","R-HSA-451927","Interleukin-2 family signaling","9/461","41/9232",0.000149562079472856,0.00375329599439024,0.00323488908734523,"1439/5777/6850/3636/84868/2885/3965/1438/6776",9,"Reactome"
"R-HSA-5686938","MEbrown","R-HSA-5686938","Regulation of TLR by endogenous ligand","6/461","18/9232",0.000166573380739029,0.00408298472788225,0.00351904106677557,"7096/10333/6280/929/7097/6279",6,"Reactome"
"R-HSA-416700","MEbrown","R-HSA-416700","Other semaphorin interactions","6/461","19/9232",0.000233269622586542,0.00558786777741398,0.0048160690022054,"10154/971/7305/54209/64218/5361",6,"Reactome"
"R-HSA-6803157","MEbrown","R-HSA-6803157","Antimicrobial peptides","8/461","35/9232",0.000259377536615048,0.00599334977007657,0.00516554564224117,"7096/920/6039/4069/6280/6556/7097/6279",8,"Reactome"
"R-HSA-913531...397","MEbrown","R-HSA-913531","Interferon Signaling","21/461","181/9232",0.000261569344804101,0.00599334977007657,0.00516554564224117,"25939/5777/7297/4261/5724/9830/5580/2209/3663/3122/3113/3115/23636/3437/3118/3455/3394/2633/4502/567/3837",21,"Reactome"
"R-HSA-437239","MEbrown","R-HSA-437239","Recycling pathway of L1","9/461","45/9232",0.000316685589307677,0.00709808032084234,0.00611769031947162,"6195/7430/60/57698/161/1175/1213/1211/71",9,"Reactome"
"R-HSA-202733...399","MEbrown","R-HSA-202733","Cell surface interactions at the vascular wall","16/461","121/9232",0.000323252234725268,0.00709808032084234,0.00611769031947162,"8832/5777/3689/6404/3684/9046/9056/2885/9672/2207/23428/120425/4067/972/7040/2335",16,"Reactome"
"R-HSA-164952...400","MEbrown","R-HSA-164952","The role of Nef in HIV-1 replication and disease pathogenesis","7/461","28/9232",0.000350400942994842,0.00738645187833126,0.00636623186956944,"1794/920/3055/162/161/1175/567",7,"Reactome"
"R-HSA-9674555...401","MEbrown","R-HSA-9674555","Signaling by CSF3 (G-CSF)","7/461","28/9232",0.000350400942994842,0.00738645187833126,0.00636623186956944,"7297/6850/1441/2885/3055/4067/6776",7,"Reactome"
"R-HSA-397795","MEbrown","R-HSA-397795","G-protein beta:gamma signalling","7/461","29/9232",0.000442286030433777,0.00914057796229806,0.00787807728099792,"5330/695/23533/59345/55970/5058/2787",7,"Reactome"
"R-HSA-8856825","MEbrown","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis","14/461","102/9232",0.000514478123633453,0.0104280758136473,0.00898774535821194,"409/920/2885/157/4074/10618/161/55707/9185/1175/1956/1213/950/1211",14,"Reactome"
"R-HSA-9013148","MEbrown","R-HSA-9013148","CDC42 GTPase cycle","18/461","152/9232",0.000553664266738504,0.011010606361177,0.00948981652820912,"257106/7454/51291/201176/92799/221472/4650/752/116985/29/397/124997/9826/5058/114793/9815/80243/396",18,"Reactome"
"R-HSA-5099900","MEbrown","R-HSA-5099900","WNT5A-dependent internalization of FZD4","5/461","15/9232",0.000601080563348388,0.0115188893412582,0.00992789523769681,"409/161/1175/1213/1211",5,"Reactome"
"R-HSA-8866427","MEbrown","R-HSA-8866427","VLDLR internalisation and degradation","5/461","15/9232",0.000601080563348388,0.0115188893412582,0.00992789523769681,"10062/161/1175/1213/1211",5,"Reactome"
