"","column_label","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","source"
"hsa05170...390","MEmagenta","hsa05170","Human immunodeficiency virus 1 infection","49/876","190/7099",2.28298723542026e-07,1.62922270891355e-06,1.26165084062698e-06,"1234/140564/162/164668/200316/2185/25939/27350/2771/2773/2793/3105/3107/3134/356/3661/3709/3710/3985/4615/4773/4790/5058/5336/54331/5579/567/578/5880/59345/60489/684/6890/6892/7097/7099/7124/7133/7186/7188/7852/841/8517/8905/915/916/917/919/920",49,"KEGG"
"hsa04666...391","MEmagenta","hsa04666","Fc gamma R-mediated phagocytosis","29/876","87/7099",2.39073119835355e-07,1.66819910285114e-06,1.29183370016297e-06,"10092/10096/10097/10109/2209/2213/2214/2215/27040/3055/3635/382/3985/4067/4082/5058/50807/5321/5336/5579/56848/5788/5880/653361/6850/7408/7409/7454/8936",29,"KEGG"
"hsa04217","MEmagenta","hsa04217","Necroptosis","37/876","127/7099",2.76746788832626e-07,1.88909764550967e-06,1.4628949249505e-06,"10379/11035/114548/1536/1540/197259/2512/2752/29108/330/3455/3458/3459/3460/353376/3553/356/3718/5321/5610/6772/6773/6774/6775/6776/7099/7124/7128/7186/7188/7297/834/841/8743/8797/8837/91782",37,"KEGG"
"hsa05417...393","MEmagenta","hsa05417","Lipid and atherosclerosis","50/876","200/7099",4.8233997392803e-07,3.22244152794471e-06,2.49542069378219e-06,"10010/10333/114548/1536/23643/29108/2921/3310/3383/353376/3553/356/3592/3593/3606/3661/3665/387/4067/4615/4688/4689/4773/4790/4973/5330/5452/5906/5908/6347/6348/6352/653361/6714/6774/7097/7099/7124/7186/7187/7409/834/840/841/8517/8743/8797/958/959/9641",50,"KEGG"
"hsa05416","MEmagenta","hsa05416","Viral myocarditis","19/876","47/7099",1.05376802876385e-06,6.89339918816355e-06,5.33816698781689e-06,"27/3105/3107/3108/3109/3111/3112/3119/3123/3134/3383/3683/3689/5880/841/941/942/958/959",19,"KEGG"
"hsa05171...395","MEmagenta","hsa05171","Coronavirus disease - COVID-19","49/876","201/7099",1.39584109525173e-06,8.94477763079683e-06,6.92673024711387e-06,"103/10379/114548/1437/1536/2162/23586/3455/3553/3558/3592/3593/3627/3661/4599/4600/4615/4790/4938/4939/4940/51284/51311/5336/5579/5610/6347/64135/6772/6773/6774/6850/6868/7097/7099/712/7124/713/714/715/717/7187/719/728/7297/834/8517/9636/9641",49,"KEGG"
"hsa05143","MEmagenta","hsa05143","African trypanosomiasis","15/876","32/7099",1.53544317836844e-06,9.64258316015381e-06,7.46710261480231e-06,"169355/3383/3458/3553/356/3586/3592/3593/3606/3620/4615/5330/5579/7124/8542",15,"KEGG"
"hsa05130","MEmagenta","hsa05130","Pathogenic Escherichia coli infection","46/876","186/7099",1.92292320562752e-06,1.18391742464126e-05,9.16811683178446e-06,"10006/10092/10096/10097/10109/10672/10787/114548/23191/27128/29108/3059/3071/3553/356/3606/382/387/4542/4615/4644/4671/4790/5058/57121/5777/578/64005/6714/7099/7100/7124/7186/7456/834/837/840/841/8517/8743/8797/8936/9170/9181/9267/9632",46,"KEGG"
"hsa04668...398","MEmagenta","hsa04668","TNF signaling pathway","31/876","107/7099",2.91694319931205e-06,1.76138493189227e-05,1.3639957065609e-05,"11035/1326/1435/1437/197259/2921/330/3383/3553/3600/3627/3659/4049/4790/6347/6352/64127/7124/7128/7133/7185/7186/7187/7188/7424/840/841/8517/8837/8986/9020",31,"KEGG"
"hsa05310","MEmagenta","hsa05310","Asthma","12/876","23/7099",4.26116694184334e-06,2.52454041460153e-05,1.95497430698274e-05,"2207/3108/3109/3111/3112/3119/3123/3586/6037/7124/958/959",12,"KEGG"
"hsa04142","MEmagenta","hsa04142","Lysosome","34/876","125/7099",4.65597735194456e-06,2.70736460835295e-05,2.09655120526159e-05,"10312/10577/1075/1497/1508/1512/1514/1520/1521/1522/162/1777/23062/23312/23545/23659/2517/2760/4074/4125/4668/53/54/55353/5538/5641/57192/58511/6556/7805/79158/8905/9516/968",34,"KEGG"
"hsa05163...401","MEmagenta","hsa05163","Human cytomegalovirus infection","47/876","205/7099",1.35896000498253e-05,7.75842621026388e-05,6.00803370623854e-05,"10672/113/1230/1234/2185/2771/2773/2793/2885/3105/3107/3134/3553/356/3587/3588/3661/3709/3710/387/388372/4773/4790/5330/54331/5567/5579/567/5734/578/5880/59345/6347/6348/6351/6352/6387/6714/6774/6890/6892/7124/7186/7188/7852/841/8517",47,"KEGG"
"hsa05132...402","MEmagenta","hsa05132","Salmonella infection","52/876","240/7099",2.57402943945316e-05,0.000144329507855052,0.000111767067765729,"10006/10092/10096/10097/10109/10333/10627/10787/11035/112574/114548/197259/23191/23207/23643/27128/29108/3071/330/3553/3606/382/387/391/399/4074/4615/4671/4790/5058/5294/578/5788/58484/63916/6932/7097/7099/7100/7124/7186/79792/834/837/838/840/841/8517/8743/8797/9267/9844",52,"KEGG"
"hsa05166...403","MEmagenta","hsa05166","Human T-cell leukemia virus 1 infection","45/876","203/7099",5.01565187149167e-05,0.000276300822394453,0.000213964096456985,"10744/113/1437/200186/3105/3107/3108/3109/3111/3112/3119/3123/3134/3383/3558/3559/3560/3561/3600/3601/3683/3689/3718/3932/4049/4773/4790/4791/5567/567/5971/6688/6776/7046/7094/7124/8517/894/896/9020/915/916/917/920/958",45,"KEGG"
"hsa04670...404","MEmagenta","hsa04670","Leukocyte transendothelial migration","28/876","107/7099",6.79920159560537e-05,0.000368094707072429,0.000285048197565307,"10627/1536/2185/2771/2773/3383/3676/3683/3684/3689/3702/387/399/4478/4688/4689/5336/5579/5880/5906/5908/6387/6494/653361/7294/7408/7409/7852",28,"KEGG"
"hsa05200...405","MEmagenta","hsa05200","Pathways in cancer","90/876","499/7099",8.5714570950997e-05,0.000456175852179883,0.00035325719696129,"10023/10125/10161/10235/1050/10672/11186/113/115727/1436/1438/1439/1441/1647/2099/2322/2323/23401/23604/2771/2773/2793/2885/3065/3082/330/3455/3458/3459/3460/3558/3559/356/3560/3561/3566/3574/3575/3592/3593/3594/3597/3600/3601/3675/3718/387/4259/4790/4791/4853/5330/5336/5371/54331/5567/5579/57121/5734/578/5880/5900/59345/6387/6688/6772/6773/6774/6775/6776/6789/6932/7046/7170/7185/7186/7187/7188/7424/7428/7480/7852/80326/840/841/8517/867/894/896/9170",90,"KEGG"
"hsa05131","MEmagenta","hsa05131","Shigellosis","45/876","209/7099",0.000104776852549,0.000548332195006436,0.000424621981382791,"10092/10096/10097/10109/10627/114548/1437/23048/27128/29108/3059/3101/3553/3606/3661/3709/3710/382/387/4615/4671/4790/5330/5336/5588/58484/58528/6352/63916/6714/7094/7099/7100/7124/7186/7188/7321/834/837/8517/8936/9181/92610/9267/9844",45,"KEGG"
"hsa04622","MEmagenta","hsa04622","RIG-I-like receptor signaling pathway","19/876","63/7099",0.000133898060258113,0.000689245752804058,0.000533743777732945,"10010/1540/23586/3592/3593/3627/3661/3665/4790/54941/64135/7124/7186/7187/79132/841/8517/9636/9641",19,"KEGG"
"hsa04623","MEmagenta","hsa04623","Cytosolic DNA-sensing pathway","17/876","56/7099",0.000273799589911298,0.00138666243922819,0.00107381503004261,"103/11035/23586/29108/3553/3606/3627/3661/3665/388372/4790/6351/6352/834/8517/9447/9641",17,"KEGG"
"hsa05160","MEmagenta","hsa05160","Hepatitis C","33/876","146/7099",0.000339904730281475,0.0016941283382283,0.00131191299406885,"10062/10379/23586/2885/3434/3455/3458/356/3627/3661/3665/4599/4600/4790/4938/4939/4940/5516/5521/5610/578/6772/6773/6774/7124/7186/7187/7297/841/8517/8837/91543/9641",33,"KEGG"
"hsa04210...410","MEmagenta","hsa04210","Apoptosis","29/876","126/7099",0.000557724889705641,0.0027363377401183,0.00211898765661189,"10039/1075/1439/1508/1512/1514/1520/1521/1522/1616/1647/3002/330/356/3709/3710/4790/578/597/7124/7185/7186/840/841/8517/8743/8797/8837/9020",29,"KEGG"
"hsa05203...411","MEmagenta","hsa05203","Viral carcinogenesis","34/876","157/7099",0.000639498231906963,0.00308926838182748,0.00239229298089892,"10379/1234/1237/2885/3065/3105/3107/3134/3516/3661/3665/3718/387/4067/4790/4791/5567/5610/578/5966/6672/6714/6774/6776/6850/7185/7186/7187/7188/841/8517/894/896/9734",34,"KEGG"
"hsa05202...412","MEmagenta","hsa05202","Transcriptional misregulation in cancer","34/876","164/7099",0.00143138846321142,0.00680993905224827,0.0052735364434105,"1050/1053/1436/1437/1647/171558/2119/2120/2209/2313/2322/3002/3065/3087/330/3560/3684/3695/4066/4790/5090/51513/5371/55589/578/5966/597/64919/6688/7030/7185/894/942/958",34,"KEGG"
"hsa04144","MEmagenta","hsa04144","Endocytosis","44/876","229/7099",0.00161333489893347,0.00756100236216581,0.00585515100791251,"10092/10096/10097/10109/10938/116984/116985/116986/118813/1234/155382/23096/2350/23550/26119/27128/2870/30011/3105/3107/3134/3310/3559/3560/3561/382/387/408/409/4218/50807/5371/64744/6714/7046/7456/7852/829/867/868/89853/91782/9267/9744",44,"KEGG"
"hsa05146...414","MEmagenta","hsa05146","Amoebiasis","22/876","93/7099",0.00171899404162906,0.00793770778046361,0.00614686723864262,"1437/2769/2921/3458/3553/3586/3592/3593/3684/3689/384/4790/5272/5330/5567/5579/7097/7099/7124/910/911/912",22,"KEGG"
"hsa04810...415","MEmagenta","hsa04810","Regulation of actin cytoskeleton","40/876","206/7099",0.00211200171715806,0.0096111382490961,0.0074427520467355,"10092/10096/10097/10109/10627/10672/10787/23191/3071/3675/3676/3681/3682/3683/3684/3687/3689/3695/387/3985/4478/5058/5305/5499/5500/57121/5880/6387/6548/6714/7074/7114/7409/7852/85464/8826/8936/89846/9170/9459",40,"KEGG"
"hsa04664","MEmagenta","hsa04664","Fc epsilon RI signaling pathway","16/876","63/7099",0.00332003884250374,0.0146829886837489,0.0113703331744754,"1437/2207/240/241/27040/2885/3635/3937/4067/5321/5336/5880/6850/695/7124/7409",16,"KEGG"
"hsa05221","MEmagenta","hsa05221","Acute myeloid leukemia","16/876","63/7099",0.00332003884250374,0.0146829886837489,0.0113703331744754,"1050/1053/1436/1437/2209/2322/2885/3684/4790/5371/597/6688/6774/6776/6932/8517",16,"KEGG"
"hsa03250...418","MEmagenta","hsa03250","Viral life cycle - HIV-1","15/876","58/7099",0.00365281754279377,0.0159303431727395,0.0123362697717158,"1234/140564/164668/200316/22936/25939/27350/4599/4600/55201/60489/684/7852/8178/920",15,"KEGG"
"hsa04936...419","MEmagenta","hsa04936","Alcoholic liver disease","27/876","135/7099",0.00702926531911457,0.0302354700027668,0.023413991185515,"23175/23643/23765/2921/3553/356/3592/3593/3661/4615/4790/6932/7099/712/7124/713/714/717/7187/719/728/8310/841/8517/9020/9641/9663",27,"KEGG"
"hsa04014...420","MEmagenta","hsa04014","Ras signaling pathway","39/876","219/7099",0.0107757130701523,0.0457239716760516,0.0354081041138717,"10125/10156/10235/11186/115727/1435/1436/22821/2322/2323/26279/27/27040/2793/2885/3082/3363/356/382/387/4790/5058/5321/5336/54331/5567/5579/5880/5900/5906/5908/59345/5966/64926/6789/7074/7424/7535/8517",39,"KEGG"
"GO:0140375","MEmagenta","GO:0140375","immune receptor activity","70/1634","144/18368",1.45463455189999e-35,1.46481699376329e-32,1.23108018918694e-32,"10148/10288/10663/10859/10990/11024/11027/11126/1230/1234/1236/1237/1240/131450/1378/1438/1439/1441/1512/1524/2207/2213/2322/23547/2357/2358/2359/23765/27202/2829/2833/2856/3111/3112/3119/3120/3123/3455/3459/3460/353514/3556/3559/3560/3561/3566/3575/3581/3587/3588/3593/3594/3597/3601/3805/3821/3822/3824/50615/719/728/729230/7852/79168/8807/8808/9034/920/9466/972",70,"GO"
"GO:0005126","MEmagenta","GO:0005126","cytokine receptor binding","80/1634","271/18368",9.8341450535126e-23,4.9514920344436e-20,4.16139611738112e-20,"10019/10563/10673/1435/1437/146722/1524/246778/26228/2625/282618/2885/29108/2921/3458/3553/3556/3557/3558/356/3574/3586/3592/3593/3594/3597/3600/3606/3627/388372/4049/4050/4282/4283/4615/51752/55704/58191/59067/6347/6348/6351/6352/6355/6361/6362/6367/6368/6373/6375/6386/6387/6772/6774/6846/6850/6868/7046/7100/7124/7185/7186/7187/7188/7292/729230/7297/7424/841/8740/8741/8742/8743/8837/9034/944/9466/959/970/9966",80,"GO"
"GO:0004896","MEmagenta","GO:0004896","cytokine receptor activity","40/1634","97/18368",1.11258053675353e-17,3.73456200170269e-15,3.13864825105207e-15,"10148/10663/1230/1234/1236/1237/1240/1438/1439/1441/1524/2322/23765/2829/2833/3455/3459/3460/3556/3559/3560/3561/3566/3575/3581/3587/3588/3593/3594/3597/3601/50615/729230/7852/8807/8808/9034/920/9466/972",40,"GO"
"GO:0005164","MEmagenta","GO:0005164","tumor necrosis factor receptor binding","20/1634","31/18368",2.80350651626087e-14,7.05782765468674e-12,5.93162957650984e-12,"10673/356/4049/4050/6772/7124/7185/7186/7187/7188/7292/841/8740/8741/8742/8743/944/959/970/9966",20,"GO"
"GO:0005125...425","MEmagenta","GO:0005125","cytokine activity","59/1634","235/18368",1.26210458222775e-13,2.5418786286067e-11,2.13627807181287e-11,"10148/10563/10673/112616/113540/1435/1437/146225/2323/246778/282618/2896/2921/3458/3553/3557/3558/356/3574/3586/3592/3593/3600/3603/3606/3627/388372/4049/4050/4282/4283/58191/59067/6347/6348/6351/6352/6355/6361/6362/6367/6368/6373/6375/6387/6398/6846/7124/7292/7480/80326/8740/8741/8742/8743/944/959/970/9966",59,"GO"
"GO:0032813","MEmagenta","GO:0032813","tumor necrosis factor receptor superfamily binding","22/1634","49/18368",3.12449746107327e-11,5.24394823883463e-09,4.40718589246124e-09,"10673/356/4049/4050/4615/6772/7124/7185/7186/7187/7188/7292/841/8740/8741/8742/8743/8837/944/959/970/9966",22,"GO"
"GO:0030695...427","MEmagenta","GO:0030695","GTPase regulator activity","88/1634","488/18368",9.42024294723046e-11,1.18577308098263e-08,9.96562543364907e-09,"10125/10156/10188/10235/10672/11033/1124/115727/116984/116985/116986/117289/126432/139818/141/153020/163486/1794/201176/221002/221472/22821/22898/23096/23101/23102/23158/23550/23616/257106/25771/266747/27128/29/3071/3257/374403/393/397/399/3996/408/440193/4650/50619/50650/50807/51291/54509/55357/55619/55704/55803/55843/56882/57105/57580/58504/5900/5906/5909/6001/6102/63940/64333/64407/64744/64805/64926/6494/7074/7409/7454/79890/79958/79961/81704/8826/89846/9181/9267/93663/9459/9732/9744/9844/9909/9938",88,"GO"
"GO:0060589...428","MEmagenta","GO:0060589","nucleoside-triphosphatase regulator activity","88/1634","488/18368",9.42024294723046e-11,1.18577308098263e-08,9.96562543364907e-09,"10125/10156/10188/10235/10672/11033/1124/115727/116984/116985/116986/117289/126432/139818/141/153020/163486/1794/201176/221002/221472/22821/22898/23096/23101/23102/23158/23550/23616/257106/25771/266747/27128/29/3071/3257/374403/393/397/399/3996/408/440193/4650/50619/50650/50807/51291/54509/55357/55619/55704/55803/55843/56882/57105/57580/58504/5900/5906/5909/6001/6102/63940/64333/64407/64744/64805/64926/6494/7074/7409/7454/79890/79958/79961/81704/8826/89846/9181/9267/93663/9459/9732/9744/9844/9909/9938",88,"GO"
"GO:0003953","MEmagenta","GO:0003953","NAD+ nucleosidase activity","16/1634","28/18368",1.54999695466003e-10,1.73427437038072e-08,1.45754099596101e-08,"10333/118788/353376/3556/4615/51284/51311/59307/7096/7097/7099/7100/81793/8807/8808/952",16,"GO"
"GO:0019955...430","MEmagenta","GO:0019955","cytokine binding","38/1634","139/18368",2.00850548004157e-10,1.94083331956231e-08,1.63113990375592e-08,"10068/10148/10663/1230/1234/1236/1237/1436/1438/1441/147138/1524/2633/2829/2833/3459/3557/3559/3560/3561/3587/3592/3593/3594/3597/3604/3676/375387/7046/7133/7186/729230/7852/8792/9034/920/9466/972",38,"GO"
"GO:0023023","MEmagenta","GO:0023023","MHC protein complex binding","18/1634","36/18368",2.12007611868773e-10,1.94083331956231e-08,1.63113990375592e-08,"10288/10859/11126/3108/3109/3111/3112/3119/3120/3123/3821/3822/3824/55080/567/920/925/972",18,"GO"
"GO:0004715","MEmagenta","GO:0004715","non-membrane spanning protein tyrosine kinase activity","20/1634","45/18368",3.09514761671935e-10,2.59734470836365e-08,2.18289358231786e-08,"10188/1445/2185/2242/2268/27/3055/3702/3718/3932/4067/4145/55359/5610/6714/6850/695/7294/7297/7535",20,"GO"
"GO:0005096...433","MEmagenta","GO:0005096","GTPase activator activity","83/1634","462/18368",3.92100352674902e-10,3.03726965495097e-08,2.55262091943823e-08,"10125/10156/10235/10672/11033/1124/115727/116984/116985/116986/117289/126432/139818/141/153020/163486/1794/201176/221002/221472/22821/22898/23096/23101/23102/23158/23550/23616/257106/25771/266747/27128/29/3071/3257/374403/393/397/3996/408/440193/4650/50619/50650/50807/51291/54509/55357/55619/55704/55803/55843/57105/57580/58504/5900/5906/5909/6001/6102/64333/64407/64744/64805/64926/6494/7074/7409/79890/79958/79961/81704/8826/89846/9181/9267/93663/9459/9732/9744/9844/9909/9938",83,"GO"
"GO:0042379","MEmagenta","GO:0042379","chemokine receptor binding","24/1634","72/18368",6.08094813593613e-09,4.2782335299802e-07,3.59556761417873e-07,"10563/1524/2921/3627/388372/4283/58191/6347/6348/6351/6352/6355/6361/6362/6367/6368/6373/6375/6387/6772/6774/6846/729230/9034",24,"GO"
"GO:0038187","MEmagenta","GO:0038187","pattern recognition receptor activity","14/1634","26/18368",6.37274110721976e-09,4.2782335299802e-07,3.59556761417873e-07,"2219/22900/23643/26253/338339/51284/51311/5724/64127/64581/7097/7099/8685/93978",14,"GO"
"GO:0008009...436","MEmagenta","GO:0008009","chemokine activity","19/1634","49/18368",1.36175429166783e-08,8.57054107318443e-07,7.20296349013775e-07,"10563/2921/3627/388372/4283/58191/6347/6348/6351/6352/6355/6361/6362/6367/6368/6373/6375/6387/6846",19,"GO"
"GO:0017124","MEmagenta","GO:0017124","SH3 domain binding","33/1634","130/18368",2.29495388276876e-08,1.35942268232244e-06,1.14250335711832e-06,"10006/10744/201176/23616/26191/26578/2885/30011/3059/3635/4067/51225/51466/5359/5777/63916/6450/6451/64780/653361/6868/7408/7454/7456/8631/867/868/8751/9047/916/9495/9732/9844",33,"GO"
"GO:0004875","MEmagenta","GO:0004875","complement receptor activity","9/1634","12/18368",5.86593678299209e-08,3.10894649498581e-06,2.61286048394772e-06,"1240/1378/2357/2358/2359/27202/2856/719/728",9,"GO"
"GO:0035325","MEmagenta","GO:0035325","Toll-like receptor binding","9/1634","12/18368",5.86593678299209e-08,3.10894649498581e-06,2.61286048394772e-06,"10333/23643/4615/6279/6280/6850/7096/7097/81622",9,"GO"
"GO:0003779...440","MEmagenta","GO:0003779","actin binding","73/1634","441/18368",1.45699739251544e-07,7.33598187131522e-06,6.165399492539e-06,"10092/10096/10097/10109/10487/11151/114793/1234/161176/170954/199/22846/23136/2314/23191/23307/23406/257144/2633/27/28988/3059/309/3927/3936/4046/4082/4210/4478/4542/4607/4644/4647/4650/50853/51225/51466/53827/55201/55704/56907/57175/57471/6275/64005/64098/64127/64780/6640/7094/7114/7170/7273/7408/7454/7456/7464/752/7852/79585/79778/829/84687/84940/8522/85464/8826/8936/9050/9051/9168/92241/9535",73,"GO"
"GO:0030246...441","MEmagenta","GO:0030246","carbohydrate binding","51/1634","271/18368",2.16072763401793e-07,1.03612034640764e-05,8.7078948258166e-06,"100049587/100528032/10219/10462/11226/114132/160364/160365/170482/2219/23324/23601/26253/26270/27036/27180/27181/283420/29121/30835/3101/3123/338339/342372/3558/3820/3821/3822/3823/3824/387837/3965/4065/4125/4360/4973/50856/5509/6402/64581/6614/80216/8778/89790/93978/945/946/969/971/9936/9976",51,"GO"
"GO:0032393","MEmagenta","GO:0032393","MHC class I receptor activity","10/1634","17/18368",3.27744423458537e-07,1.50017561101249e-05,1.26079672947686e-05,"10288/10859/10990/11024/11027/11126/1512/23547/353514/79168",10,"GO"
"GO:0048020...443","MEmagenta","GO:0048020","CCR chemokine receptor binding","17/1634","48/18368",3.68048548039413e-07,1.56188515334973e-05,1.31265945047111e-05,"10563/388372/6347/6348/6351/6352/6355/6361/6362/6367/6368/6375/6772/6774/6846/729230/9034",17,"GO"
"GO:0005085...444","MEmagenta","GO:0005085","guanyl-nucleotide exchange factor activity","44/1634","223/18368",3.7224670983509e-07,1.56188515334973e-05,1.31265945047111e-05,"10125/10235/10672/115727/117289/126432/139818/153020/163486/1794/221002/221472/22898/23096/23101/23550/266747/27128/29/3257/440193/50619/50650/54509/55619/55704/57105/57580/5900/5906/64805/7074/7409/79890/79958/79961/81704/89846/9181/9267/9459/9732/9844/9909",44,"GO"
"GO:0051015...445","MEmagenta","GO:0051015","actin filament binding","43/1634","217/18368",4.45191417233221e-07,1.79323102861541e-05,1.50709010297057e-05,"10092/10096/10097/10109/11151/114793/161176/199/2314/23191/23406/27/28988/3059/309/3927/3936/4082/4542/4644/4647/50853/51225/55201/57175/57471/64005/64780/7094/7170/7273/7464/752/79585/79778/829/84687/84940/8522/8826/9050/9051/92241",43,"GO"
"GO:0019902","MEmagenta","GO:0019902","phosphatase binding","40/1634","196/18368",5.00898389014652e-07,1.94001799129906e-05,1.6304546751732e-05,"10288/1075/10859/11006/11123/114132/115352/116443/1445/170954/22870/23141/26051/26133/2885/343413/3718/3783/387837/3932/4773/5499/5509/6548/6772/6774/6850/7186/7187/79037/8178/84687/8631/8826/89790/91272/9258/945/9495/9641",40,"GO"
"GO:0001637","MEmagenta","GO:0001637","G protein-coupled chemoattractant receptor activity","12/1634","26/18368",6.97536500329666e-07,2.40645131264965e-05,2.02246051886303e-05,"10663/1230/1234/1236/1237/1240/1524/2829/2833/729230/7852/9034",12,"GO"
"GO:0004950","MEmagenta","GO:0004950","chemokine receptor activity","12/1634","26/18368",6.97536500329666e-07,2.40645131264965e-05,2.02246051886303e-05,"10663/1230/1234/1236/1237/1240/1524/2829/2833/729230/7852/9034",12,"GO"
"GO:0016799","MEmagenta","GO:0016799","hydrolase activity, hydrolyzing N-glycosyl compounds","17/1634","50/18368",7.18808103414315e-07,2.40645131264965e-05,2.02246051886303e-05,"10333/118788/141/353376/3556/4615/51284/51311/59307/7096/7097/7099/7100/81793/8807/8808/952",17,"GO"
"GO:0033691","MEmagenta","GO:0033691","sialic acid binding","11/1634","22/18368",7.47607126685627e-07,2.40645131264965e-05,2.02246051886303e-05,"100049587/114132/2219/27036/27180/27181/7903/8778/89790/945/946",11,"GO"
"GO:0042287","MEmagenta","GO:0042287","MHC protein binding","15/1634","40/18368",7.64711439968112e-07,2.40645131264965e-05,2.02246051886303e-05,"10288/10859/29992/343413/3812/3824/3902/51744/64581/6890/6892/920/925/926/972",15,"GO"
"GO:0043028","MEmagenta","GO:0043028","cysteine-type endopeptidase regulator activity involved in apoptotic process","15/1634","40/18368",7.64711439968112e-07,2.40645131264965e-05,2.02246051886303e-05,"1512/22861/22900/25816/29108/330/4671/489/5272/6195/6197/834/8740/91662/939",15,"GO"
"GO:0004714...453","MEmagenta","GO:0004714","transmembrane receptor protein tyrosine kinase activity","29/1634","124/18368",1.02531289106211e-06,3.12875782211984e-05,2.62951057229327e-05,"10188/10461/1436/1445/2041/2185/2242/2268/2322/27/3055/3702/3718/3932/4058/4067/4145/4486/55359/558/5610/6714/6850/695/7016/7294/7297/7535/8798",29,"GO"
"GO:0016493","MEmagenta","GO:0016493","C-C chemokine receptor activity","11/1634","23/18368",1.31755454239169e-06,3.90228654173069e-05,3.27960944917313e-05,"10663/1230/1234/1236/1237/1524/2829/2833/729230/7852/9034",11,"GO"
"GO:0032396","MEmagenta","GO:0032396","inhibitory MHC class I receptor activity","8/1634","12/18368",1.37761416219306e-06,3.96359274665261e-05,3.33113319219014e-05,"10288/10859/10990/11024/11027/23547/353514/79168",8,"GO"
"GO:0070851...456","MEmagenta","GO:0070851","growth factor receptor binding","31/1634","141/18368",1.82422991179005e-06,5.1027764477016e-05,4.28854049438361e-05,"10188/1437/146722/2625/2885/29108/351/3553/3556/3557/3558/3574/3586/3592/3593/3594/4067/4615/4902/51752/5359/55704/5795/59067/6386/6714/6868/7100/7424/867/9466",31,"GO"
"GO:0050135","MEmagenta","GO:0050135","NAD(P)+ nucleosidase activity","9/1634","16/18368",2.19131414706601e-06,5.77530432374642e-05,4.85375495352754e-05,"10333/3556/7096/7097/7099/81793/8807/8808/952",9,"GO"
"GO:0061809","MEmagenta","GO:0061809","NAD+ nucleotidase, cyclic ADP-ribose generating","9/1634","16/18368",2.19131414706601e-06,5.77530432374642e-05,4.85375495352754e-05,"10333/3556/7096/7097/7099/81793/8807/8808/952",9,"GO"
"GO:0019957","MEmagenta","GO:0019957","C-C chemokine binding","11/1634","24/18368",2.23671170433079e-06,5.77530432374642e-05,4.85375495352754e-05,"10663/1230/1234/1236/1237/1524/2829/2833/729230/7852/9034",11,"GO"
"GO:0038024...460","MEmagenta","GO:0038024","cargo receptor activity","21/1634","77/18368",2.30213490582402e-06,5.79562462541196e-05,4.87083280074344e-05,"10347/23166/2350/2358/283316/3684/3689/4360/4481/4973/51293/55911/58191/64699/84000/84695/8685/921/922/923/9332",21,"GO"
"GO:0004713...461","MEmagenta","GO:0004713","protein tyrosine kinase activity","30/1634","136/18368",2.47468090702217e-06,6.07805773993005e-05,5.10819884273638e-05,"10188/10461/1436/1445/2041/2185/2242/2268/2322/27/3055/3702/3718/3932/4058/4067/4145/4486/55359/558/5610/6714/6850/695/7016/7273/7294/7297/7535/8798",30,"GO"
"GO:0016798","MEmagenta","GO:0016798","hydrolase activity, acting on glycosyl bonds","31/1634","144/18368",2.91851390644425e-06,6.99748453283181e-05,5.88091524005307e-05,"10333/10825/10855/1118/118788/141/1486/23324/2517/2760/353376/3556/4069/4125/4615/4668/51284/51311/55331/57134/59307/7096/7097/7099/7100/7841/81793/8807/8808/952/9695",31,"GO"
"GO:0001784","MEmagenta","GO:0001784","phosphotyrosine residue binding","15/1634","44/18368",3.10496378896546e-06,7.27139194299586e-05,6.1111160008035e-05,"2268/26119/26228/27/2885/3055/3932/5336/5777/64092/6850/7409/7535/867/868",15,"GO"
"GO:0030546...464","MEmagenta","GO:0030546","signaling receptor activator activity","75/1634","495/18368",3.25431701284324e-06,7.44794825439352e-05,6.2594997089138e-05,"10148/10457/10507/10563/10673/112616/113540/1435/1437/146225/1609/1890/2323/246778/282618/2896/2921/3082/3458/351/3553/3557/3558/356/3574/3586/3592/3593/3600/3603/3606/3627/3640/388372/4049/4050/4282/4283/4902/51293/51738/5367/56729/57817/58191/59067/6347/6348/6351/6352/6355/6361/6362/6367/6368/6373/6375/6387/6398/64218/6846/7124/7292/7424/7480/80326/8740/8741/8742/8743/944/9535/959/970/9966",75,"GO"
"GO:0042169","MEmagenta","GO:0042169","SH2 domain binding","14/1634","40/18368",4.63754395270556e-06,0.000103777928008322,8.72183704789537e-05,"10603/10859/23636/27240/29760/3932/55704/55824/5777/6504/6714/6850/8631/89790",14,"GO"
"GO:0048018...466","MEmagenta","GO:0048018","receptor ligand activity","73/1634","487/18368",6.46284525368219e-06,0.00014148011240126,0.000118904521372093,"10148/10457/10507/10563/10673/112616/113540/1435/1437/146225/1890/2323/246778/282618/2896/2921/3082/3458/3553/3557/3558/356/3574/3586/3592/3593/3600/3603/3606/3627/3640/388372/4049/4050/4282/4283/4902/51293/51738/5367/56729/57817/58191/59067/6347/6348/6351/6352/6355/6361/6362/6367/6368/6373/6375/6387/6398/64218/6846/7124/7292/7424/7480/80326/8740/8741/8742/8743/944/9535/959/970/9966",73,"GO"
